pop,ind,geo,pos_start,pos_end,pos_len,map_start,map_end,map_len,source
Chane,S_Chane-1,America,198544000,198594000,50000,188.86710282685513,188.8962669527897,0.0292,frog
Chane,S_Chane-1,America,19724000,19788000,64000,37.84947462686567,37.8842400862069,0.0348,frog
Chane,S_Chane-1,America,73070000,73116000,46000,82.6357,82.73750652051714,0.1018,frog
Chane,S_Chane-1,America,94540000,94618000,78000,95.772475,95.85154728033473,0.0791,frog
Chane,S_Chane-1,America,98818000,98984000,166000,93.9642236238532,94.08776875,0.1235,frog
Chane,S_Chane-1,America,49576000,49640000,64000,68.55769358490566,68.5902,0.0325,frog
Chane,S_Chane-1,America,18288000,18366000,78000,34.390185843164474,34.44730701754386,0.0571,frog
Chane,S_Chane-1,America,105632000,105694000,62000,110.2643079571106,110.30138861578266,0.0371,frog
Chane,S_Chane-1,America,168862000,168894000,32000,162.3507833373875,162.39541006585137,0.0446,frog
Chane,S_Chane-1,America,107718000,107746000,28000,96.12286359338061,96.22870942622951,0.1058,frog
Karitiana,B_Karitiana-3,America,57588000,57608000,20000,75.36076511799409,75.38758960084034,0.0268,frog
Karitiana,B_Karitiana-3,America,57624000,57776000,152000,75.44912617483577,75.70332402402403,0.2542,frog
Karitiana,B_Karitiana-3,America,61966000,62102000,136000,82.02239502982107,82.21785654205607,0.1955,frog
Karitiana,B_Karitiana-3,America,167596000,167630000,34000,164.5761855494839,164.67522388496224,0.099,frog
Karitiana,B_Karitiana-3,America,13214000,13254000,40000,26.410087091366304,26.46900065789474,0.0589,frog
Karitiana,B_Karitiana-3,America,2630000,2796000,166000,0.029271402985074628,0.3107831252001281,0.2815,frog
Karitiana,B_Karitiana-3,America,111716000,111776000,60000,117.0568494117647,117.11749299610895,0.0606,frog
Karitiana,B_Karitiana-3,America,101260000,101288000,28000,98.97055,99.05039310344827,0.0798,frog
Karitiana,B_Karitiana-3,America,51970000,52008000,38000,74.39187584068686,74.51778191072827,0.1259,frog
Karitiana,B_Karitiana-3,America,11796000,11824000,28000,22.720756481481484,22.82302270486753,0.1023,frog
Karitiana,B_Karitiana-3,America,17282000,17460000,178000,32.34709383033419,32.3862873015873,0.0392,frog
